Column,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper
CLD052_activities,19.84,7.643485,0.02533,18.354192,0.0,2.595675,1.0,,17.721373,21.958627
CLD052_decisions,3.64,2.057936,0.001619,12.507037,0.0,1.768762,1.0,,3.06958,4.21042
CLD052_forks,0.22,0.46467,0.0,3.347826,0.000814,0.473454,0.917411,,0.091202,0.348798
CLD052_swimlanes,0.26,0.943506,0.0,1.948559,0.051348,0.275568,0.495497,,-0.001522,0.521522
CLD052_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD052_options,0.2,0.606092,0.0,2.333333,0.019631,0.329983,0.645572,,0.032003,0.367997
CLD052_edges,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD052_notes,0.38,0.830294,0.0,3.236211,0.001211,0.457669,0.899066,,0.149859,0.610141
CLD052_partitions,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD052_numberline,39.14,14.39389,0.175962,19.227713,0.0,2.719209,1.0,,35.15029,43.12971
CLD052_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD052_raw_score,77.751,30.507414,0.022794,18.021278,0.0,2.548594,1.0,,69.294932,86.207068
CLD052_percentage_score,77.586,6.791922,0.149546,80.774756,0.0,11.423276,1.0,,75.70341,79.46859
CLD052_functional_complexity,37.37,15.19862,0.026705,17.38617,0.0,2.458776,1.0,,33.157235,41.582765
CLD052_organization_score,0.52,1.887013,0.0,1.948559,0.051348,0.275568,0.495497,,-0.003044,1.043044
CLD052_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
CLD052_decisions_activities_ratio,0.17636,0.058431,0.146378,21.342288,0.0,3.018255,1.0,,0.160164,0.192556
CLD052_lines_vs_average,0.8392,0.308675,0.175675,19.22423,0.0,2.718717,1.0,,0.753641,0.924759
CLD053_activities,19.56,6.767751,0.241071,20.43664,0.0,2.890177,1.0,,17.68411,21.43589
CLD053_decisions,3.78,1.919715,0.004908,13.923231,0.0,1.969042,1.0,,3.247892,4.312108
CLD053_forks,0.18,0.437526,0.0,2.90907,0.003625,0.411405,0.828717,,0.058726,0.301274
CLD053_swimlanes,0.12,0.718275,0.0,1.181342,0.237467,0.167067,0.218942,,-0.079092,0.319092
