Column,Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper,N_all,N_intra,N_inter,Prefix_Group
CLM052,Levenshtein,0.570391,0.068626,0.0,,,,,,0.563666,0.577116,400,400,0,CLM
CLM092,Levenshtein,0.554771,0.058111,0.0,,,,,,0.549076,0.560465,400,400,0,CLM
CLM003,Levenshtein,0.66608,0.174948,0.0,,,,,,0.648935,0.683224,400,400,0,CLM
CLM053,Levenshtein,0.56843,0.065432,0.0,,,,,,0.562018,0.574843,400,400,0,CLM
CLM093,Levenshtein,0.54805,0.05453,0.0,,,,,,0.542706,0.553394,400,400,0,CLM
CLM001,TFIDF,0.711778,0.157927,0.0,,,,,,0.696301,0.727255,400,400,0,CLM
CLM051,TFIDF,0.62693,0.079417,0.000144,,,,,,0.619147,0.634712,400,400,0,CLM
CLM091,TFIDF,0.623025,0.074804,0.001261,,,,,,0.615695,0.630356,400,400,0,CLM
CLM002,TFIDF,0.713026,0.159218,0.0,,,,,,0.697423,0.728629,400,400,0,CLM
CLM052,TFIDF,0.634597,0.077424,0.054542,,,,,,0.62701,0.642184,400,400,0,CLM
CLM092,TFIDF,0.610128,0.081048,0.492488,,,,,,0.602186,0.618071,400,400,0,CLM
CLM003,TFIDF,0.713294,0.158054,0.0,,,,,,0.697804,0.728783,400,400,0,CLM
CLM053,TFIDF,0.626766,0.078694,0.010084,,,,,,0.619054,0.634477,400,400,0,CLM
CLM093,TFIDF,0.604757,0.072756,0.00467,,,,,,0.597627,0.611886,400,400,0,CLM
CLM001,MEAN,0.634026,0.188309,0.0,,,,,,0.615572,0.65248,400,400,0,CLM
CLM051,MEAN,0.533414,0.066192,0.0,,,,,,0.526927,0.539901,400,400,0,CLM
CLM091,MEAN,0.52121,0.059927,0.0,,,,,,0.515337,0.527083,400,400,0,CLM
CLM002,MEAN,0.635774,0.190269,0.0,,,,,,0.617128,0.65442,400,400,0,CLM
CLM052,MEAN,0.533809,0.068541,0.0,,,,,,0.527092,0.540525,400,400,0,CLM
CLM092,MEAN,0.516843,0.063964,1e-06,,,,,,0.510575,0.523112,400,400,0,CLM
CLM003,MEAN,0.635488,0.188583,0.0,,,,,,0.617008,0.653969,400,400,0,CLM
CLM053,MEAN,0.529278,0.065238,0.0,,,,,,0.522885,0.535671,400,400,0,CLM
CLM093,MEAN,0.50967,0.059276,0.0,,,,,,0.503861,0.515479,400,400,0,CLM
CLM001,Weighted,0.638884,0.186184,0.0,,,,,,0.620638,0.65713,400,400,0,CLM
CLM051,Weighted,0.539257,0.066454,0.0,,,,,,0.532745,0.545769,400,400,0,CLM
CLM091,Weighted,0.527574,0.060247,0.0,,,,,,0.521669,0.533478,400,400,0,CLM
CLM002,Weighted,0.640603,0.188103,0.0,,,,,,0.622169,0.659037,400,400,0,CLM
CLM052,Weighted,0.540106,0.068623,0.0,,,,,,0.533381,0.546831,400,400,0,CLM
CLM092,Weighted,0.522674,0.064386,3e-06,,,,,,0.516364,0.528984,400,400,0,CLM
CLM003,Weighted,0.640351,0.18644,0.0,,,,,,0.62208,0.658622,400,400,0,CLM
CLM053,Weighted,0.535372,0.065588,0.0,,,,,,0.528944,0.541799,400,400,0,CLM
CLM093,Weighted,0.515612,0.059609,0.0,,,,,,0.509771,0.521454,400,400,0,CLM
DPM001,Jaccard,0.310327,0.132443,0.0,,,,,,0.297348,0.323306,400,400,0,DPM
DPM051,Jaccard,0.299972,0.130011,1e-06,,,,,,0.287231,0.312713,400,400,0,DPM
DPM091,Jaccard,0.294214,0.116382,0.000126,,,,,,0.282809,0.305619,400,400,0,DPM
DPM002,Jaccard,0.311062,0.12954,0.000609,,,,,,0.298367,0.323756,400,400,0,DPM
DPM052,Jaccard,0.292156,0.129686,0.0,,,,,,0.279447,0.304864,400,400,0,DPM
DPM092,Jaccard,0.27934,0.128769,0.0,,,,,,0.266721,0.291959,400,400,0,DPM
DPM003,Jaccard,0.301462,0.125995,0.0,,,,,,0.289115,0.31381,400,400,0,DPM
DPM053,Jaccard,0.294163,0.12481,0.006676,,,,,,0.281932,0.306394,400,400,0,DPM
DPM093,Jaccard,0.292996,0.124034,1e-06,,,,,,0.280841,0.305152,400,400,0,DPM
DPM001,Levenshtein,0.524454,0.105025,0.0,,,,,,0.514162,0.534747,400,400,0,DPM
DPM051,Levenshtein,0.519603,0.096379,0.0,,,,,,0.510158,0.529048,400,400,0,DPM
DPM091,Levenshtein,0.507297,0.09429,0.0,,,,,,0.498057,0.516538,400,400,0,DPM
DPM002,Levenshtein,0.530448,0.103637,0.0,,,,,,0.520292,0.540605,400,400,0,DPM
DPM052,Levenshtein,0.514184,0.099463,0.0,,,,,,0.504437,0.523931,400,400,0,DPM
DPM092,Levenshtein,0.505707,0.089881,0.0,,,,,,0.496899,0.514515,400,400,0,DPM
DPM003,Levenshtein,0.52185,0.097952,0.0,,,,,,0.512251,0.531449,400,400,0,DPM
DPM053,Levenshtein,0.527194,0.095754,0.000126,,,,,,0.51781,0.536577,400,400,0,DPM
DPM093,Levenshtein,0.508597,0.099619,0.0,,,,,,0.498835,0.518359,400,400,0,DPM
DPM001,TFIDF,0.456032,0.12341,0.001725,,,,,,0.443938,0.468126,400,400,0,DPM
DPM051,TFIDF,0.458104,0.1173,0.01706,,,,,,0.446609,0.469599,400,400,0,DPM
DPM091,TFIDF,0.441864,0.122778,0.002462,,,,,,0.429832,0.453896,400,400,0,DPM
DPM002,TFIDF,0.458932,0.1334,0.001785,,,,,,0.445859,0.472005,400,400,0,DPM
DPM052,TFIDF,0.446097,0.130742,0.010118,,,,,,0.433285,0.45891,400,400,0,DPM
DPM092,TFIDF,0.436323,0.119049,0.006919,,,,,,0.424657,0.44799,400,400,0,DPM
DPM003,TFIDF,0.452346,0.12751,0.166643,,,,,,0.43985,0.464841,400,400,0,DPM
DPM053,TFIDF,0.455335,0.122663,0.000274,,,,,,0.443314,0.467356,400,400,0,DPM
DPM093,TFIDF,0.440774,0.132863,0.0,,,,,,0.427754,0.453794,400,400,0,DPM
DPM001,MEAN,0.43027,0.10919,0.0,,,,,,0.419569,0.44097,400,400,0,DPM
DPM051,MEAN,0.425893,0.098934,0.0,,,,,,0.416198,0.435589,400,400,0,DPM
DPM091,MEAN,0.414462,0.098662,0.0,,,,,,0.404793,0.424131,400,400,0,DPM
DPM002,MEAN,0.433479,0.108707,1e-06,,,,,,0.422826,0.444132,400,400,0,DPM
DPM052,MEAN,0.417478,0.105458,0.0,,,,,,0.407143,0.427812,400,400,0,DPM
DPM092,MEAN,0.407122,0.098907,0.0,,,,,,0.397429,0.416814,400,400,0,DPM
DPM003,MEAN,0.425218,0.104465,0.0,,,,,,0.414981,0.435456,400,400,0,DPM
DPM053,MEAN,0.425564,0.098111,1.8e-05,,,,,,0.415949,0.435178,400,400,0,DPM
DPM093,MEAN,0.414123,0.106813,0.0,,,,,,0.403655,0.424591,400,400,0,DPM
DPM001,Weighted,0.431882,0.109457,0.0,,,,,,0.421155,0.442608,400,400,0,DPM
DPM051,Weighted,0.427908,0.099222,0.0,,,,,,0.418185,0.437632,400,400,0,DPM
DPM091,Weighted,0.416172,0.099457,1e-06,,,,,,0.406425,0.425919,400,400,0,DPM
DPM002,Weighted,0.43507,0.109613,2e-06,,,,,,0.424328,0.445812,400,400,0,DPM
DPM052,Weighted,0.41927,0.106276,0.0,,,,,,0.408855,0.429684,400,400,0,DPM
DPM092,Weighted,0.408947,0.099335,0.0,,,,,,0.399212,0.418681,400,400,0,DPM
DPM003,Weighted,0.426914,0.105213,0.0,,,,,,0.416603,0.437225,400,400,0,DPM
DPM053,Weighted,0.427423,0.098872,1.7e-05,,,,,,0.417734,0.437112,400,400,0,DPM
DPM093,Weighted,0.415787,0.107805,0.0,,,,,,0.405222,0.426352,400,400,0,DPM
GPM001,Jaccard,0.400054,0.107632,0.0,,,,,,0.389506,0.410602,400,400,0,GPM
GPM051,Jaccard,0.368815,0.088064,0.000619,,,,,,0.360185,0.377445,400,400,0,GPM
GPM091,Jaccard,0.34005,0.083223,0.0,,,,,,0.331894,0.348206,400,400,0,GPM
GPM002,Jaccard,0.405386,0.11976,0.0,,,,,,0.39365,0.417122,400,400,0,GPM
GPM052,Jaccard,0.375797,0.091127,1e-06,,,,,,0.366867,0.384727,400,400,0,GPM
GPM092,Jaccard,0.32909,0.071806,0.000767,,,,,,0.322053,0.336127,400,400,0,GPM
GPM003,Jaccard,0.403145,0.116748,0.0,,,,,,0.391704,0.414586,400,400,0,GPM
GPM053,Jaccard,0.374262,0.09164,0.0,,,,,,0.365281,0.383242,400,400,0,GPM
GPM093,Jaccard,0.338045,0.08268,0.003517,,,,,,0.329943,0.346148,400,400,0,GPM
GPM001,Levenshtein,0.575887,0.089386,0.0,,,,,,0.567128,0.584647,400,400,0,GPM
GPM051,Levenshtein,0.549808,0.06962,0.0,,,,,,0.542985,0.55663,400,400,0,GPM
GPM091,Levenshtein,0.527149,0.063036,6e-05,,,,,,0.520972,0.533327,400,400,0,GPM
GPM002,Levenshtein,0.575399,0.098365,0.0,,,,,,0.56576,0.585039,400,400,0,GPM
GPM052,Levenshtein,0.552791,0.06939,2e-06,,,,,,0.545991,0.559591,400,400,0,GPM
GPM092,Levenshtein,0.520619,0.05428,3.2e-05,,,,,,0.5153,0.525939,400,400,0,GPM
GPM003,Levenshtein,0.581595,0.098352,0.0,,,,,,0.571957,0.591234,400,400,0,GPM
GPM053,Levenshtein,0.556856,0.073167,0.0,,,,,,0.549686,0.564027,400,400,0,GPM
GPM093,Levenshtein,0.525119,0.06013,0.002233,,,,,,0.519226,0.531011,400,400,0,GPM
GPM001,TFIDF,0.579085,0.096733,0.000199,,,,,,0.569605,0.588565,400,400,0,GPM
GPM051,TFIDF,0.557195,0.088798,0.50444,,,,,,0.548493,0.565897,400,400,0,GPM
GPM091,TFIDF,0.533704,0.081744,0.008221,,,,,,0.525693,0.541715,400,400,0,GPM
GPM002,TFIDF,0.58209,0.1104,9.6e-05,,,,,,0.571271,0.592909,400,400,0,GPM
GPM052,TFIDF,0.564007,0.086866,0.321131,,,,,,0.555495,0.57252,400,400,0,GPM
GPM092,TFIDF,0.52322,0.077084,0.973533,,,,,,0.515666,0.530774,400,400,0,GPM
GPM003,TFIDF,0.58616,0.106285,4e-06,,,,,,0.575744,0.596576,400,400,0,GPM
GPM053,TFIDF,0.565172,0.087095,0.001316,,,,,,0.556636,0.573707,400,400,0,GPM
GPM093,TFIDF,0.52691,0.078607,0.110732,,,,,,0.519206,0.534613,400,400,0,GPM
GPM001,MEAN,0.518342,0.088501,0.0,,,,,,0.509669,0.527015,400,400,0,GPM
